"Name","Citizenship"
"Description","Native Citizen: Individuals who were born in the United States, Puerto Rico, a U.S. Island Area (such as Guam), or abroad of American (U.S. citizen) parent or parents are considered U.S. citizens at birth.<br />
Naturalized Citizens: Foreign-born individuals&nbsp;who are U.S. citizens through naturalization.&nbsp;<br />
Non-Citizens:&nbsp; Individuals who are not currently citizens of the U.S."
"Source Notes","<span style=""font-family: GestaCond-Regular, GestaCond-Regular, Tahoma, Arial, sans-serif; color: #333333;""></span><span style=""font-family: GestaCond-Regular, GestaCond-Regular, Tahoma, Arial, sans-serif; color: #333333;""></span>U.S. Census Bureau, American Community Survey 1-Year Estimates, Table B05002 (2005-2023); retrieved from&nbsp;<a href=""https://data.census.gov/"" target=""_blank"">https://data.census.gov/</a>."
"Notes","<normal>Percents refer&nbsp;to the share of the total population for that year.&nbsp;<br />
<br />
<span style=""background-color: #ffffff; border: 0px; font-variant: inherit; font-weight: inherit; font-stretch: inherit; line-height: inherit; margin: 0px; padding: 0px; vertical-align: baseline;"">We do not report 2020 American Community Survey 1-year estimates. Due to disruptions and biases in data collection during 2020, the Census Bureau released the &ldquo;experimental&rdquo; 1-year estimates for 2020 and advises against comparing against estimates from prior or future years.<span style=""font-variant: inherit; font-weight: inherit; font-stretch: inherit; line-height: inherit; border: 0px; margin: 0px; padding: 0px; vertical-align: baseline; color: inherit;"">&nbsp;<br />
</span></span><br />
Please note that the citizenship question on the American Community Survey (ACS) has seen higher levels of non-response in recent years. In New York State, the share of ACS respondents who skipped this question exceeded 8% in 2018 &mdash; greater than for any other demographic questions. For this reason, while the data remain reliable, the <em>number</em>&nbsp;values should be interpreted with caution; for smaller estimates at the community district level, the average margin of error was 13% of the estimated value for 2018 data.</normal><br />
<br />
For more information:<br />
<blockquote style=""margin: 0px 0px 0px 40px; border: none; padding: 0px;"">O'Hare, W. (2018). ""Citizenship Question Nonresponse: A Demographic Profile of People Who Do Not Answer the American Community Survey Citizenship Question."" <em>Center on Poverty and Inequality at Georgetown Law</em>. Retrieved from:&nbsp;<a href=""http://www.georgetownpoverty.org/wp-content/uploads/2018/09/GCPI-ESOI-Demographic-Profile-of-People-Who-Do-Not-Respond-to-the-Citizenship-Question-20180906.pdf"">http://www.georgetownpoverty.org/wp-content/uploads/2018/09/GCPI-ESOI-Demographic-Profile-of-People-Who-Do-Not-Respond-to-the-Citizenship-Question-20180906.pdf</a></blockquote>"
Upper East Side,Naturalized Citizen,2019,Number,28177,108
Manhattanville,Naturalized Citizen,2019,Number,22645,109
Central Harlem,Naturalized Citizen,2019,Number,13533,110
East Harlem,Naturalized Citizen,2019,Number,10868,111
Washington Heights,Naturalized Citizen,2019,Number,49614,112
Mott Haven,Naturalized Citizen,2019,Number,13246.22813,201
Hunts Point,Naturalized Citizen,2019,Number,7563.77187,202
Morrisania,Naturalized Citizen,2019,Number,12021.29732,203
Concourse/Highbridge,Naturalized Citizen,2019,Number,26013,204
University Heights,Naturalized Citizen,2019,Number,26689,205
East Tremont,Naturalized Citizen,2019,Number,12549.70268,206
Bedford Park,Naturalized Citizen,2019,Number,28397,207
Riverdale,Naturalized Citizen,2019,Number,18367,208
Unionport/Soundview,Naturalized Citizen,2019,Number,24480,209
Throgs Neck,Naturalized Citizen,2019,Number,17582,210
Pelham Parkway,Naturalized Citizen,2019,Number,21654,211
Williamsbridge,Naturalized Citizen,2019,Number,35840,212
Williamsburg/Greenpoint,Naturalized Citizen,2019,Number,19591,301
Fort Greene/Brooklyn Hts,Naturalized Citizen,2019,Number,13506,302
Bedford Stuyvesant,Naturalized Citizen,2019,Number,15887,303
Bushwick,Naturalized Citizen,2019,Number,21273,304
East New York,Naturalized Citizen,2019,Number,42555,305
Park Slope,Naturalized Citizen,2019,Number,10458,306
Sunset Park,Naturalized Citizen,2019,Number,24888,307
Crown Heights North,Naturalized Citizen,2019,Number,21971,308
Crown Heights South,Naturalized Citizen,2019,Number,24637,309
Bay Ridge,Naturalized Citizen,2019,Number,28262,310
Bensonhurst,Naturalized Citizen,2019,Number,59468,311
Borough Park,Naturalized Citizen,2019,Number,26363,312
Coney Island,Naturalized Citizen,2019,Number,44626,313
Flatbush/Midwood,Naturalized Citizen,2019,Number,38029,314
Sheepshead Bay,Naturalized Citizen,2019,Number,49427,315
Brownsville,Naturalized Citizen,2019,Number,19732,316
East Flatbush,Naturalized Citizen,2019,Number,43091,317
Canarsie,Naturalized Citizen,2019,Number,64786,318
Astoria,Naturalized Citizen,2019,Number,35819,401
Sunnyside/Woodside,Naturalized Citizen,2019,Number,33213,402
Jackson Heights,Naturalized Citizen,2019,Number,50385,403
Elmhurst/Corona,Naturalized Citizen,2019,Number,44743,404
Ridgewood/Glendale,Naturalized Citizen,2019,Number,33611,405
Rego Park/Forest Hills,Naturalized Citizen,2019,Number,36575,406
Flushing,Naturalized Citizen,2019,Number,67273,407
Fresh Meadows/Briarwood,Naturalized Citizen,2019,Number,50299,408
Woodhaven,Naturalized Citizen,2019,Number,45079,409
Howard Beach,Naturalized Citizen,2019,Number,35088,410
Bayside,Naturalized Citizen,2019,Number,34330,411
Jamaica/St. Albans,Naturalized Citizen,2019,Number,71542,412
Queens Village,Naturalized Citizen,2019,Number,63657,413
The Rockaways,Naturalized Citizen,2019,Number,25705,414
St. George,Naturalized Citizen,2019,Number,27300,501
South Beach,Naturalized Citizen,2019,Number,28789,502
Tottenville,Naturalized Citizen,2019,Number,19843,503
Bronx,Naturalized Citizen,2019,Number,244403,36005
Brooklyn,Naturalized Citizen,2019,Number,568550,36047
Manhattan,Naturalized Citizen,2019,Number,249189,36061
Queens,Naturalized Citizen,2019,Number,627319,36081
Staten Island,Naturalized Citizen,2019,Number,75932,36085
New York City,Naturalized Citizen,2019,Number,1765393,3651000
Battery Park/Tribeca,Naturalized Citizen,2019,Percent,0.12975,101
Greenwich Village,Naturalized Citizen,2019,Percent,0.12975,102
Lower East Side,Naturalized Citizen,2019,Percent,0.23357,103
Chelsea/Clinton,Naturalized Citizen,2019,Percent,0.14562,104
Midtown Business District,Naturalized Citizen,2019,Percent,0.14562,105
Murray Hill/Stuyvesant,Naturalized Citizen,2019,Percent,0.11597,106
Upper West Side,Naturalized Citizen,2019,Percent,0.12461,107
Upper East Side,Naturalized Citizen,2019,Percent,0.12992,108
Manhattanville,Naturalized Citizen,2019,Percent,0.17047,109
Central Harlem,Naturalized Citizen,2019,Percent,0.09925,110
East Harlem,Naturalized Citizen,2019,Percent,0.09751,111
Washington Heights,Naturalized Citizen,2019,Percent,0.24309,112
Mott Haven,Naturalized Citizen,2019,Percent,0.14173,201
Hunts Point,Naturalized Citizen,2019,Percent,0.14173,202
Morrisania,Naturalized Citizen,2019,Percent,0.14209,203
Concourse/Highbridge,Naturalized Citizen,2019,Percent,0.18461,204
University Heights,Naturalized Citizen,2019,Percent,0.19311,205
East Tremont,Naturalized Citizen,2019,Percent,0.14209,206
Bedford Park,Naturalized Citizen,2019,Percent,0.18721,207
Riverdale,Naturalized Citizen,2019,Percent,0.17635,208
Unionport/Soundview,Naturalized Citizen,2019,Percent,0.13727,209
Throgs Neck,Naturalized Citizen,2019,Percent,0.15856,210
Pelham Parkway,Naturalized Citizen,2019,Percent,0.17302,211
Williamsbridge,Naturalized Citizen,2019,Percent,0.24033,212
Williamsburg/Greenpoint,Naturalized Citizen,2019,Percent,0.12948,301
Fort Greene/Brooklyn Hts,Naturalized Citizen,2019,Percent,0.10129,302
Bedford Stuyvesant,Naturalized Citizen,2019,Percent,0.11009,303
Bushwick,Naturalized Citizen,2019,Percent,0.16678,304
East New York,Naturalized Citizen,2019,Percent,0.23536,305
Park Slope,Naturalized Citizen,2019,Percent,0.0917,306
Sunset Park,Naturalized Citizen,2019,Percent,0.1903,307
Crown Heights North,Naturalized Citizen,2019,Percent,0.17121,308
Crown Heights South,Naturalized Citizen,2019,Percent,0.23186,309
Bay Ridge,Naturalized Citizen,2019,Percent,0.2318,310
Bensonhurst,Naturalized Citizen,2019,Percent,0.31808,311
Borough Park,Naturalized Citizen,2019,Percent,0.17178,312
Coney Island,Naturalized Citizen,2019,Percent,0.38712,313
Flatbush/Midwood,Naturalized Citizen,2019,Percent,0.24243,314
Sheepshead Bay,Naturalized Citizen,2019,Percent,0.33532,315
Brownsville,Naturalized Citizen,2019,Percent,0.15371,316
East Flatbush,Naturalized Citizen,2019,Percent,0.31682,317
Canarsie,Naturalized Citizen,2019,Percent,0.32904,318
Astoria,Naturalized Citizen,2019,Percent,0.21569,401
Sunnyside/Woodside,Naturalized Citizen,2019,Percent,0.24411,402
Jackson Heights,Naturalized Citizen,2019,Percent,0.28746,403
Elmhurst/Corona,Naturalized Citizen,2019,Percent,0.28668,404
Ridgewood/Glendale,Naturalized Citizen,2019,Percent,0.2026,405
Rego Park/Forest Hills,Naturalized Citizen,2019,Percent,0.3464,406
Flushing,Naturalized Citizen,2019,Percent,0.28046,407
Fresh Meadows/Briarwood,Naturalized Citizen,2019,Percent,0.29856,408
Woodhaven,Naturalized Citizen,2019,Percent,0.31358,409
Howard Beach,Naturalized Citizen,2019,Percent,0.29593,410
Bayside,Naturalized Citizen,2019,Percent,0.29966,411
Jamaica/St. Albans,Naturalized Citizen,2019,Percent,0.29652,412
Queens Village,Naturalized Citizen,2019,Percent,0.31724,413
The Rockaways,Naturalized Citizen,2019,Percent,0.21115,414
St. George,Naturalized Citizen,2019,Percent,0.15494,501
South Beach,Naturalized Citizen,2019,Percent,0.20773,502
Tottenville,Naturalized Citizen,2019,Percent,0.12297,503
Bronx,Naturalized Citizen,2019,Percent,0.17233,36005
Brooklyn,Naturalized Citizen,2019,Percent,0.2221,36047
Manhattan,Naturalized Citizen,2019,Percent,0.153,36061
Queens,Naturalized Citizen,2019,Percent,0.27833,36081
Staten Island,Naturalized Citizen,2019,Percent,0.15947,36085
New York City,Naturalized Citizen,2019,Percent,0.21176,3651000
Battery Park/Tribeca,Non-Citizens,2019,Number,6401.73289,101
Greenwich Village,Non-Citizens,2019,Number,9450.26711,102
Lower East Side,Non-Citizens,2019,Number,20549,103
Chelsea/Clinton,Non-Citizens,2019,Number,13892.13665,104
Midtown Business District,Non-Citizens,2019,Number,6952.86335,105
Murray Hill/Stuyvesant,Non-Citizens,2019,Number,17297,106
Upper West Side,Non-Citizens,2019,Number,17205,107
Upper East Side,Non-Citizens,2019,Number,26160,108
Manhattanville,Non-Citizens,2019,Number,21282,109
Central Harlem,Non-Citizens,2019,Number,14398,110
East Harlem,Non-Citizens,2019,Number,10866,111
Washington Heights,Non-Citizens,2019,Number,39510,112
Mott Haven,Non-Citizens,2019,Number,11346.18051,201
Hunts Point,Non-Citizens,2019,Number,6478.81949,202
Morrisania,Non-Citizens,2019,Number,13255.66845,203
Concourse/Highbridge,Non-Citizens,2019,Number,26842,204
University Heights,Non-Citizens,2019,Number,32958,205
East Tremont,Non-Citizens,2019,Number,13838.33155,206
Bedford Park,Non-Citizens,2019,Number,38974,207
Riverdale,Non-Citizens,2019,Number,14333,208
Unionport/Soundview,Non-Citizens,2019,Number,23697,209
Throgs Neck,Non-Citizens,2019,Number,9346,210
Pelham Parkway,Non-Citizens,2019,Number,18551,211
Williamsbridge,Non-Citizens,2019,Number,23655,212
Williamsburg/Greenpoint,Non-Citizens,2019,Number,17053,301
Fort Greene/Brooklyn Hts,Non-Citizens,2019,Number,12651,302
Bedford Stuyvesant,Non-Citizens,2019,Number,11628,303
Bushwick,Non-Citizens,2019,Number,18174,304
East New York,Non-Citizens,2019,Number,16176,305
Park Slope,Non-Citizens,2019,Number,8598,306
Sunset Park,Non-Citizens,2019,Number,35293,307
Crown Heights North,Non-Citizens,2019,Number,8493,308
Crown Heights South,Non-Citizens,2019,Number,12521,309
Bay Ridge,Non-Citizens,2019,Number,18163,310
Bensonhurst,Non-Citizens,2019,Number,46171,311
Borough Park,Non-Citizens,2019,Number,14276,312
Coney Island,Non-Citizens,2019,Number,18331,313
Flatbush/Midwood,Non-Citizens,2019,Number,24576,314
Sheepshead Bay,Non-Citizens,2019,Number,21361,315
Brownsville,Non-Citizens,2019,Number,13153,316
East Flatbush,Non-Citizens,2019,Number,22374,317
Canarsie,Non-Citizens,2019,Number,17948,318
Astoria,Non-Citizens,2019,Number,23211,401
Sunnyside/Woodside,Non-Citizens,2019,Number,37889,402
Jackson Heights,Non-Citizens,2019,Number,54636,403
Elmhurst/Corona,Non-Citizens,2019,Number,56920,404
Ridgewood/Glendale,Non-Citizens,2019,Number,26058,405
Rego Park/Forest Hills,Non-Citizens,2019,Number,15868,406
Flushing,Non-Citizens,2019,Number,66819,407
Fresh Meadows/Briarwood,Non-Citizens,2019,Number,28308,408
Woodhaven,Non-Citizens,2019,Number,29702,409
Howard Beach,Non-Citizens,2019,Number,16617,410
Bayside,Non-Citizens,2019,Number,13545,411
Jamaica/St. Albans,Non-Citizens,2019,Number,37166,412
Queens Village,Non-Citizens,2019,Number,24721,413
The Rockaways,Non-Citizens,2019,Number,14137,414
St. George,Non-Citizens,2019,Number,16255,501
South Beach,Non-Citizens,2019,Number,12897,502
Tottenville,Non-Citizens,2019,Number,6762,503
Bronx,Non-Citizens,2019,Number,233275,36005
Brooklyn,Non-Citizens,2019,Number,336940,36047
Manhattan,Non-Citizens,2019,Number,203964,36061
Queens,Non-Citizens,2019,Number,445597,36081
Staten Island,Non-Citizens,2019,Number,35914,36085
New York City,Non-Citizens,2019,Number,1255690,3651000
Battery Park/Tribeca,Non-Citizens,2019,Percent,0.09636,101
Greenwich Village,Non-Citizens,2019,Percent,0.09636,102
Lower East Side,Non-Citizens,2019,Percent,0.12295,103
Chelsea/Clinton,Non-Citizens,2019,Percent,0.1246,104
Midtown Business District,Non-Citizens,2019,Percent,0.1246,105
Murray Hill/Stuyvesant,Non-Citizens,2019,Percent,0.11649,106
Upper West Side,Non-Citizens,2019,Percent,0.09575,107
Upper East Side,Non-Citizens,2019,Percent,0.12062,108
Manhattanville,Non-Citizens,2019,Percent,0.16021,109
Central Harlem,Non-Citizens,2019,Percent,0.1056,110
East Harlem,Non-Citizens,2019,Percent,0.09749,111
Washington Heights,Non-Citizens,2019,Percent,0.19359,112
Mott Haven,Non-Citizens,2019,Percent,0.1214,201
Hunts Point,Non-Citizens,2019,Percent,0.1214,202
Morrisania,Non-Citizens,2019,Percent,0.15668,203
Concourse/Highbridge,Non-Citizens,2019,Percent,0.1905,204
University Heights,Non-Citizens,2019,Percent,0.23846,205
East Tremont,Non-Citizens,2019,Percent,0.15668,206
Bedford Park,Non-Citizens,2019,Percent,0.25694,207
Riverdale,Non-Citizens,2019,Percent,0.13762,208
Unionport/Soundview,Non-Citizens,2019,Percent,0.13288,209
Throgs Neck,Non-Citizens,2019,Percent,0.08429,210
Pelham Parkway,Non-Citizens,2019,Percent,0.14822,211
Williamsbridge,Non-Citizens,2019,Percent,0.15862,212
Williamsburg/Greenpoint,Non-Citizens,2019,Percent,0.1127,301
Fort Greene/Brooklyn Hts,Non-Citizens,2019,Percent,0.09487,302
Bedford Stuyvesant,Non-Citizens,2019,Percent,0.08058,303
Bushwick,Non-Citizens,2019,Percent,0.14249,304
East New York,Non-Citizens,2019,Percent,0.08946,305
Park Slope,Non-Citizens,2019,Percent,0.07539,306
Sunset Park,Non-Citizens,2019,Percent,0.26986,307
Crown Heights North,Non-Citizens,2019,Percent,0.06618,308
Crown Heights South,Non-Citizens,2019,Percent,0.11784,309
Bay Ridge,Non-Citizens,2019,Percent,0.14897,310
Bensonhurst,Non-Citizens,2019,Percent,0.24696,311
Borough Park,Non-Citizens,2019,Percent,0.09302,312
Coney Island,Non-Citizens,2019,Percent,0.15902,313
Flatbush/Midwood,Non-Citizens,2019,Percent,0.15667,314
Sheepshead Bay,Non-Citizens,2019,Percent,0.14492,315
Brownsville,Non-Citizens,2019,Percent,0.10246,316
East Flatbush,Non-Citizens,2019,Percent,0.1645,317
Canarsie,Non-Citizens,2019,Percent,0.09116,318
Astoria,Non-Citizens,2019,Percent,0.13977,401
Sunnyside/Woodside,Non-Citizens,2019,Percent,0.27848,402
Jackson Heights,Non-Citizens,2019,Percent,0.31172,403
Elmhurst/Corona,Non-Citizens,2019,Percent,0.3647,404
Ridgewood/Glendale,Non-Citizens,2019,Percent,0.15708,405
Rego Park/Forest Hills,Non-Citizens,2019,Percent,0.15029,406
Flushing,Non-Citizens,2019,Percent,0.27856,407
Fresh Meadows/Briarwood,Non-Citizens,2019,Percent,0.16803,408
Woodhaven,Non-Citizens,2019,Percent,0.20661,409
Howard Beach,Non-Citizens,2019,Percent,0.14015,410
Bayside,Non-Citizens,2019,Percent,0.11823,411
Jamaica/St. Albans,Non-Citizens,2019,Percent,0.15404,412
Queens Village,Non-Citizens,2019,Percent,0.1232,413
The Rockaways,Non-Citizens,2019,Percent,0.11612,414
St. George,Non-Citizens,2019,Percent,0.09226,501
South Beach,Non-Citizens,2019,Percent,0.09306,502
Tottenville,Non-Citizens,2019,Percent,0.04191,503
Bronx,Non-Citizens,2019,Percent,0.16449,36005
Brooklyn,Non-Citizens,2019,Percent,0.13162,36047
Manhattan,Non-Citizens,2019,Percent,0.12523,36061
Queens,Non-Citizens,2019,Percent,0.1977,36081
Staten Island,Non-Citizens,2019,Percent,0.07543,36085
New York City,Non-Citizens,2019,Percent,0.15062,3651000
Riverdale,Native Citizen,2021,Number,69248,208
Williamsbridge,Native Citizen,2021,Number,84965,212
Throgs Neck,Native Citizen,2021,Number,96275,210
Pelham Parkway,Native Citizen,2021,Number,94286,211
Morrisania,Native Citizen,2021,Number,61475,203
East Tremont,Native Citizen,2021,Number,64177,206
Bedford Park,Native Citizen,2021,Number,74547,207
University Heights,Native Citizen,2021,Number,74543,205
Concourse/Highbridge,Native Citizen,2021,Number,86782,204
Unionport/Soundview,Native Citizen,2021,Number,118378,209
Mott Haven,Native Citizen,2021,Number,76121,201
Hunts Point,Native Citizen,2021,Number,43466,202
Washington Heights,Native Citizen,2021,Number,118168,112
Manhattanville,Native Citizen,2021,Number,82405,109
Central Harlem,Native Citizen,2021,Number,98639,110
East Harlem,Native Citizen,2021,Number,92978,111
Upper East Side,Native Citizen,2021,Number,162007,108
Upper West Side,Native Citizen,2021,Number,151395,107
Chelsea/Clinton,Native Citizen,2021,Number,73367,104
Midtown Business District,Native Citizen,2021,Number,36720,105
Murray Hill/Stuyvesant,Native Citizen,2021,Number,106487,106
Lower East Side,Native Citizen,2021,Number,98327,103
Battery Park/Tribeca,Native Citizen,2021,Number,45788,101
Greenwich Village,Native Citizen,2021,Number,67592,102
Tottenville,Native Citizen,2021,Number,138743,503
South Beach,Native Citizen,2021,Number,90776,502
St. George,Native Citizen,2021,Number,137858,501
Williamsburg/Greenpoint,Native Citizen,2021,Number,121843,301
Bushwick,Native Citizen,2021,Number,80542,304
Bedford Stuyvesant,Native Citizen,2021,Number,113270,303
Fort Greene/Brooklyn Hts,Native Citizen,2021,Number,116725,302
Park Slope,Native Citizen,2021,Number,96954,306
Crown Heights North,Native Citizen,2021,Number,102012,308
Brownsville,Native Citizen,2021,Number,79482,316
East New York,Native Citizen,2021,Number,114260,305
Canarsie,Native Citizen,2021,Number,119937,318
East Flatbush,Native Citizen,2021,Number,68755,317
Crown Heights South,Native Citizen,2021,Number,69871,309
Sunset Park,Native Citizen,2021,Number,80002,307
Bay Ridge,Native Citizen,2021,Number,71640,310
Borough Park,Native Citizen,2021,Number,131266,312
Flatbush/Midwood,Native Citizen,2021,Number,105895,314
Sheepshead Bay,Native Citizen,2021,Number,81099,315
Bensonhurst,Native Citizen,2021,Number,92783,311
Coney Island,Native Citizen,2021,Number,54776,313
Astoria,Native Citizen,2021,Number,98687,401
Jackson Heights,Native Citizen,2021,Number,62781,403
Flushing,Native Citizen,2021,Number,105035,407
Bayside,Native Citizen,2021,Number,71562,411
Queens Village,Native Citizen,2021,Number,119190,413
Fresh Meadows/Briarwood,Native Citizen,2021,Number,86042,408
Elmhurst/Corona,Native Citizen,2021,Number,49767,404
Rego Park/Forest Hills,Native Citizen,2021,Number,68577,406
Sunnyside/Woodside,Native Citizen,2021,Number,73978,402
Ridgewood/Glendale,Native Citizen,2021,Number,101316,405
Woodhaven,Native Citizen,2021,Number,70436,409
Jamaica/St. Albans,Native Citizen,2021,Number,148065,412
Howard Beach,Native Citizen,2021,Number,88675,410
The Rockaways,Native Citizen,2021,Number,97001,414
Bronx,Native Citizen,2021,Number,944263,36005
Brooklyn,Native Citizen,2021,Number,1701112,36047
Manhattan,Native Citizen,2021,Number,1133873,36061
Queens,Native Citizen,2021,Number,1241112,36081
Staten Island,Native Citizen,2021,Number,367377,36085
New York City,Native Citizen,2021,Number,5387737,3651000
Riverdale,Native Citizen,2021,Percent,0.63321,208
Williamsbridge,Native Citizen,2021,Percent,0.62984,212
Throgs Neck,Native Citizen,2021,Percent,0.77553,210
Pelham Parkway,Native Citizen,2021,Percent,0.68445,211
Morrisania,Native Citizen,2021,Percent,0.71584,203
East Tremont,Native Citizen,2021,Percent,0.71584,206
Bedford Park,Native Citizen,2021,Percent,0.57165,207
University Heights,Native Citizen,2021,Percent,0.57272,205
Concourse/Highbridge,Native Citizen,2021,Percent,0.59716,204
Unionport/Soundview,Native Citizen,2021,Percent,0.66574,209
Mott Haven,Native Citizen,2021,Percent,0.7495,201
Hunts Point,Native Citizen,2021,Percent,0.7495,202
Washington Heights,Native Citizen,2021,Percent,0.54514,112
Manhattanville,Native Citizen,2021,Percent,0.69584,109
Central Harlem,Native Citizen,2021,Percent,0.76588,110
East Harlem,Native Citizen,2021,Percent,0.75236,111
Upper East Side,Native Citizen,2021,Percent,0.78102,108
Upper West Side,Native Citizen,2021,Percent,0.76529,107
Chelsea/Clinton,Native Citizen,2021,Percent,0.72462,104
Midtown Business District,Native Citizen,2021,Percent,0.72462,105
Murray Hill/Stuyvesant,Native Citizen,2021,Percent,0.73747,106
Lower East Side,Native Citizen,2021,Percent,0.69703,103
Battery Park/Tribeca,Native Citizen,2021,Percent,0.77304,101
Greenwich Village,Native Citizen,2021,Percent,0.77304,102
Tottenville,Native Citizen,2021,Percent,0.81659,503
South Beach,Native Citizen,2021,Percent,0.65572,502
St. George,Native Citizen,2021,Percent,0.74457,501
Williamsburg/Greenpoint,Native Citizen,2021,Percent,0.76352,301
Bushwick,Native Citizen,2021,Percent,0.70223,304
Bedford Stuyvesant,Native Citizen,2021,Percent,0.82642,303
Fort Greene/Brooklyn Hts,Native Citizen,2021,Percent,0.79335,302
Park Slope,Native Citizen,2021,Percent,0.82506,306
Crown Heights North,Native Citizen,2021,Percent,0.73594,308
Brownsville,Native Citizen,2021,Percent,0.64121,316
East New York,Native Citizen,2021,Percent,0.63859,305
Canarsie,Native Citizen,2021,Percent,0.61124,318
East Flatbush,Native Citizen,2021,Percent,0.49417,317
Crown Heights South,Native Citizen,2021,Percent,0.63538,309
Sunset Park,Native Citizen,2021,Percent,0.59285,307
Bay Ridge,Native Citizen,2021,Percent,0.63992,310
Borough Park,Native Citizen,2021,Percent,0.76205,312
Flatbush/Midwood,Native Citizen,2021,Percent,0.61209,314
Sheepshead Bay,Native Citizen,2021,Percent,0.50946,315
Bensonhurst,Native Citizen,2021,Percent,0.44927,311
Coney Island,Native Citizen,2021,Percent,0.45495,313
Astoria,Native Citizen,2021,Percent,0.62866,401
Jackson Heights,Native Citizen,2021,Percent,0.40835,403
Flushing,Native Citizen,2021,Percent,0.43266,407
Bayside,Native Citizen,2021,Percent,0.59079,411
Queens Village,Native Citizen,2021,Percent,0.57749,413
